dataset,min_support,candidate_pairs,density,mean_rules,time_CMRules,time_RuleGrowth,time_ERMiner,overhead_ratio_vs_RG,overhead_ratio_vs_ER
BMSWebView2,0.02,5576130,0.001384,0.0,0.4033,0.3745,0.4339,1.077,0.93
BMSWebView2,0.05,5576130,0.001384,0.0,0.3833,0.33,0.4041,1.161,0.948
BMSWebView2,0.1,5576130,0.001384,0.0,0.416,0.3594,0.3907,1.157,1.065
BMSWebView2,0.2,5576130,0.001384,0.0,0.363,0.361,0.3692,1.006,0.983
BMSWebView2,0.3,5576130,0.001384,0.0,0.384,0.3717,0.4272,1.033,0.899
Leviathan,0.02,40720800,0.003746,6510.0,39.0078,19.5482,16.177,1.995,2.411
Leviathan,0.05,40720800,0.003746,956.0,5.7418,3.9262,2.2918,1.462,2.505
Leviathan,0.1,40720800,0.003746,192.0,1.4589,1.417,0.7396,1.03,1.972
Leviathan,0.2,40720800,0.003746,35.0,0.5598,0.8025,0.4324,0.698,1.294
Leviathan,0.3,40720800,0.003746,12.0,0.3827,0.3927,0.3382,0.975,1.132
